Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.6294143192488263,0.6321988947574334,0.8003252151799687,0.785836756651017,0.6298211071987481,0.7677216353677622
15,0.9598057553956835,0.9598067831449127,0.9586598150051389,0.9603802672147999,0.9592302158273383,0.9567995889003081
29,0.8368115942028984,0.8343478260869565,0.8346376811594202,0.8414492753623187,0.8371014492753622,0.8333333333333333
31,0.7086,0.7215,0.7225,0.7209,0.7095,0.7199
37,0.7519650284356164,0.7532594856124265,0.7436261777438247,0.7520855614973262,0.7474000509294626,0.7415431627196334
38,0.3573495178035027,0.938759463874787,0.938759463874787,0.938759463874787,0.938759463874787,0.9387064837423367
44,0.8200602133786528,0.8216251239201245,0.900912972666761,0.8563131992635604,0.820234126422131,0.8994134683472597
316,0.8112455726092088,0.9859333025340931,0.9859333025340931,0.9859333025340931,0.9859333025340931,0.9859333025340931
953,0.6041379310344828,0.6096865203761755,0.6415673981191223,0.6400313479623825,0.6081191222570532,0.6795611285266457
958,0.8278787878787878,0.8677489177489177,0.9643290043290044,0.9628571428571427,0.8569696969696967,0.9415584415584415
962,0.9984999999999999,0.9984999999999999,0.9984999999999999,0.9984999999999999,0.9984999999999999,0.9984999999999999
978,0.9533000000000001,0.95345,0.9589000000000002,0.9584999999999999,0.9533000000000001,0.9549500000000001
1067,0.8249857594758587,0.8447599374092378,0.8474150915783905,0.8463258321982191,0.8448557372989158,0.8459451092524007
1462,0.8412525547445254,0.8408153948241542,0.849636098208361,0.8481743861977439,0.8430083609820835,0.8389972130059721
1464,0.7527901565995525,0.7613583892617448,0.7598988814317673,0.7677852348993289,0.7612456375838925,0.7502774049217003
1487,0.691436411971529,0.9368586820091837,0.9368586820091837,0.9368586820091837,0.9368586820091837,0.9365431001551403
1494,0.708436018957346,0.7065402843601896,0.8307109004739337,0.8164928909952607,0.7015165876777251,0.8254976303317537
1510,0.9376230399006366,0.9377984784971278,0.9367396367023754,0.9386772240335352,0.9367458469181804,0.9360285669927029
4134,0.610584110075455,0.6107974434087883,0.6200230803373281,0.6190098890368398,0.6106107767421216,0.6219168042609854
40701,0.84626,0.8558999999999999,0.86708,0.84988,0.8553399999999999,0.8650999999999999
